player,strengths,weaknesses,h,w,p,school,c,draft_class
Nolan Smith,": Smith was a major contributor on a Duke team coming off a National Championship … At 6’3, he has nice size and length for a point guard, and has enough overall awareness and skill to play off the ball as well … With the ball in his hands, Smith’s high basketball IQ and excellent ball security allow him to efficiently run an offense … He shows nice touch in the lane when attacking the rim, with a good feel for when to float it/take it strong and when to dish it out to the open man … He’s a capable outside shooter, but generally shoots his best when someone creates open opportunities for him … Smith’s awareness allows him to read defenses and make the right pass in a timely fashion, and despite not being a pure point guard, he’s trusted at the position with his excellent decision making and offensive efficiency … Defensively his best attributes revolve around his length, IQ and effort … ",": Smith’s biggest obstacle at the next level will be trying to create separation between him and his defender … He lacks explosiveness, and therefore takes longer to execute his move and get by his defender… He’s not a dynamic athlete, which limits his upside considering he already struggles in the one on one game… Though he shot a very respectable 39% from downtown last season, he will need to continue improving his outside game in order to make him more of a threat offensively … Defensively he might have trouble guarding NBA 2 guards, limiting his services … ",6-3,189,PG/SG,Duke,Sr.,2011
Josh Selby,": Athletic combo guard with a scorer’s mentality … Has all the physical attributes that a team would look for in a lead guard … Very athletic … Gets off the ground very quickly … Recorded a 42"" maximum vertical leap, tied for highest at the 2011 NBA Draft Combine … Stands a legit 6’3"" in shoes and possesses a solid 6’5.25"" wingspan… Strong, thick frame … Great penetrator … All he needs is one step on his defender to get in the paint … Uses his strength, athleticism, creativity and impressive body control to finish well when he gets to the rim … Able to absorb contact and finish after the foul … Has a dynamic arsenal of offensive moves… Certainly not polished in this area, but has a developing step-back jumper that could be a deadly move eventually… Displays good confidence (maybe over-confidence) in his shooting ability … Not hesitant to take advantage of any opportunity the defense gives him … Has shown he has NBA range on his three-point jumper and shot a respectable 36.2% from behind the arc last season… Good lateral quickness and a tough attitude defensively … Closes out on shooters well … Has a great deal of potential, as he’s only coming out as a freshman … Could end up playing on or off the ball, depending on how the team that signs him chooses to develop him… ",": Hasn’t managed to prove that he can consistently score in any way … Outside shooting is probably his best attribute, but he even he’s still very inconsistent there and he has a poor shot-selection … Ball-handling ability is below average for someone whose ideal position is at the point … Shot a very regrettable 38% from inside the arc … Has poor passing ability, even for a combo guard … Often even fails to notice open teammates … Had an assist/turnover ratio of only 1.06 … Will struggle defending shooting guards at the next level … Dealt with suspensions and injuries during his only season at Kansas … Failed to make a very positive impression during his time there … Is a ways away from contributing in the NBA … Will be a long-term project… ",6-3,195,PG/SG,Kansas,Fr.,2011
Jon Leuer,": Leuer is coming off a solid season in which he averaged 15 points in his 3rd season at Wisconsin … At 6’10, Leuer presents matchup problems with his combination of size, outside stroke, and the ability to put the ball on the floor … He possesses excellent footwork in the post, using an array of post moves that make him unpredictable with his back to the basket … He shows nice touch in the post, and looks comfortable turning and shooting in any direction …  He has range up to 21 feet out, shooting 39% from downtown at the college level … His handle is better than average for a college forward/center, and he uses it to create open looks for himself in the post and on the perimeter … Has shown he’s aware of what’s available around him in terms of passing out of the post … Offensively he’s very efficient, shooting 52% from the floor while only turning it over once a game … Defensively Leuer has a high IQ, where he seems to position himself efficiently, illustrated by his (low) 2.1 fouls per game … ",": A finesse guy, Leuer lacks in the strength and explosiveness department, which is troublesome when considering the power he would have to go up against at the next level … He lacks the ability to body up and keep his ground, which will be an issue on the post offensively, and guarding the post defensively … His lack of strength also hurts him under the boards, where he gathers in a mediocre 5.8 rebounds per game … Not laterally quick enough to keep up with perimeter and stretch 4s, and not tall or strong enough to guard stronger and taller centers at the next level …  Jonathan Wasserman 10/11/2010   ",6-11,223,PF,Wisconsin,Sr.,2011
Chandler Parsons,": Big, versatile forward with a very high basketball IQ … Stands 6’9.75"" in shoes, which is an ideal height for a small forward at the next level … Fluid runner … Doesn’t jump out of his shoes, but gets around the court well … Very active off the ball … Is relentless running up and down the baseline … Finds ways to lose his defender … Uses screens well … Has a very pure shooting stroke … Great shooting mechanics with a smooth release … Shoots with confidence out to 25-26 feet away from the basket … Scrambles the defense with a lot of shot/pass fakes … Solid ball-handler that will sometimes play a “point-forward” role for his team … A creative and unselfish passer … Always seems to know where his teammates are and displays excellent timing when getting them the ball … Great rebounder (7.8 RPG in 2010-2011) … Outstanding instincts in pressure situations … One of the most clutch players in the draft … Well-known for making a 75-foot game-winning three point shot at the buzzer in overtime against North Carolina State on January 3rd, 2010 … ",": Not very aggressive as a scorer … Has a lot of offensive ability but only seems willing/comfortable playing within an offense and taking what the defense gives him … Probably more unselfish than a player with his ability should be … Nothing more than an average athlete and lacks a great amount of explosiveness around the rim … Only an average defender … Prone to getting beat off the dribble … Will struggle guarding athletic small forwards at the next level, but lacks the strength to guard power forwards … Is a surprisingly poor free-throw shooter … Shot only 55.7% from the stripe in his senior season … ",6-10,221,SF,Florida,Sr.,2011
Jordan Williams,": Broad shoulders and burly body have the potential to be chiseled into a vintage power forward … Has dramatically improved his conditioning since he arrived on campus, but work remains to be done … Works hard on the court as well as off it, hustling down court on fast breaks more often than many others his size. … Impossible to stop when he’s moving forward in the paint because of his size. … Very soft touch combined with a willingness to go with a layup instead of a risky dunk … Developing instincts as far as passing out of double teams … Perhaps the most improved player in the country between his freshman and sophomore seasons, and the room to grow is still obvious … Hounds the boards and boxes out well. Also has great hands and doesn’t lose many balls he gets to … Playing in a flex offense system that thrives on the fast break has allowed him experience at playing all sorts of roles on the court, from high post to wing to his most natural low post spot. … Agility well above average allows him to control his balance and footwork in post … Shows a high motor and desire to compete and improve … ",": Still a bit out of shape and lumbers at times because he’s always running up and down the court. Plays hard but not always smart … Still needs to improve at feeling a double team rather than turning into it before realizing he needs to pass … Lacks ideal length and often seems to be at his worse when longer, taller players smother him in the post. … Still developing his post moves, though they’ve come a long way since his freshman season. … Jump shot is generally off, despite seamless mechanics and a feathery touch around the basket. Looks like a natural shooter from 15 feet, but the shots just don’t go in. Particularly from the line – 50% … May not be a true 6-foot-10. Adi Joseph 1/12/11        SEASON   TEAM   MIN   PTS   REB   AST   TO   A/T   STL   BLK   PF   FG%   FT%   3P%   PPS  2009-10 MD 24.8 9.6 8.6 0.2 0.9 0.23 0.7 1.0 2.7 0.512 0.529   1.28 2010-11 MD 32.5 16.9 11.8 0.6 1.6 0.40 0.7 1.4 2.4 0.538 0.575   1.41 PerGame   28.6 11.8 10.2 0.4 1.3 0.33 0.7 1.2 2.6 0.528 0.559   1.36    SEASON   TEAM   GP   MIN   FG   FGA   FTM   FTA   3PM   3PA   PTS   OFF   DEF   TOT   AST   TO   STL   BLK   PF  2009-10 MD 33 817 126 246 64 121     316 94 190 284 7 31 24 32 90 2010-11 MD 33 1073 213 396 131 228     557 121 267 388 21 53 23 45 80 Totals   66 1890 339 642 195 349     873 215 457 672 28 84 47 77 170           ",6-9,247,PF,Maryland,So.,2011
Travis Leslie,": Amongst the top physical specimens in the ’11 draft class, with rare athleticism, length and strength at 6’4 … Thrives in open space utilizing his end-to- end speed and explosive leaping ability … Powerful, compact frame. More than capable of withstanding a blow and finishing when contacted … Not a comfortable sight for defenders while charging at the hoop: he’ll either dunk over you or take you with him through the rim … Body control, in-air adjustments and hang time are sublime … A high percentage of his points (14.4) come as a result of the transition game and crashing the offensive glass (3.2 off) … His mid-range shooting stroke is much improved, especially when afforded a couple of habit dribbles to get his legs underneath the shot … Realistic range out to 15-18 feet … Shot selection is a mainstay, recognizing his strengths and playing within them … Shoots an efficient 49% from the floor and 80% from the foul line … Playmaking is not a staple, but he’s capable of getting inside the lane with a lightning quick first step … Assist figures are on the rise (0.6 to 2.5 to 2.9). Versatile defender. Able to guard multiple positions using his combination of strength and agility … An attacking presence defensively, trusting his physical gifts … Quick hands and plays passing lanes well (1.1 career stl) … Blocked a shot per game as a sophomore.   ",": Doesn’t fit the traditional shooting guard mold … In a league infatuated with the three-point shot, Leslie has no extended range (0.4 3pt makes) … Despite a spike in attempts (1.3), he’ll never be a natural distance shooter … Catch and shoot is not in his vocabulary … Squares his body well, but needs time to eye the target … When opponents lay off him on the perimeter you can feel the doubts creep into his mind … Needs to be more free flowing and aggressive … He starts thinking rather than reacting, usually leaving the burden to a teammate … No defined offensive game at this stage in the half court set … While ball handling has improved somewhat, it still inhibits his effectiveness in the face up game … His off the dribble repertoire is elementary and lacks any real imagination … For a two-guard, that’s a difficult shortcoming to hide … Less panache and attempts at the extraordinary, more attacking and getting to the FT line (4.1 attempts) … His freakish athleticism will shine through regardless … Seems satisfied to be a complimentary part.  ",6-4,205,SG/SF,Georgia,Jr.,2011
Cory Joseph,": Young lead guard with upside … Has ideal size for a point guard in the NBA, standing 6’3.25"" in shoes with a 6’5.5"" wingspan … Well-rounded athlete … Good speed with the ball in his hands … Solid strength with the frame to potentially add a little more muscle … Aggressive in transition, displaying good instincts and finishing ability … Great perimeter shooting ability … A very natural spot-up shooter from mid to long range … Shot a very respectable 41.3% from behind the arc this season … Adequate passing ability and he doesn’t turn the ball over a lot (averaged over 2 assists per turnover) … Keeps his teammates involved … Not a selfish player by any stretch … Only recently turned 20 years old and has a lot of room to improve … A very solid defender with strong potential. Rick Barnes called him the best defensive guard he’s had … Very solid person, impressive character …  ",": Very green as a prospect and leaving college so prematurely as a PG could severely inhibit his long term development … Is currently more of a shooter than a scorer … Very raw as a floor general and some question if he’s more of a combo than true PG … Shared ball-handling responsibilities at Texas, and never had the chance to really show off his creativity with the ball … Not used to creating offense for himself off the dribble … Doesn’t look comfortable around the rim … Great shooting numbers from outside, but shot only 42.8% from inside the arc which points to his mediocre slashing/cutting skills … Playmaking ability has potential, but he has a lot to learn before he can be considered a quality full-time point guard …  ",6-3,186,PG,Texas,Fr.,2011
Charles Jenkins,": Strong combo guard with excellent scoring ability … Has good length at 6’3.25"" with a wingspan of 6’7.5""… Super efficient, shooting 51.7% from the field … Good shot selection, rarely forces the issue… Really developed his shooting ability at school… In senior season, averaged 2.0 made threes per game at a 42% clip … Very skilled in spot up shooting situations… Can drive to the basket well with either hand … Crafty ball-control combined with overwhelming strength makes him hard to keep out of the lane… Finds unique ways to finish at the rim … Very aggressive in transition, never shying away from contact … Due to physicality, spends a lot of time at the free throw line (6.7 FTA per game) … Impressive assist/turnover ratio (2.16 assists per turnover) and good overall playmaking ability suggest he can play the point guard position at the next level… Very unselfish… Makes an effort defensively… With his long arms and good anticipation, he forces a good amount of steals (1.7 SPG)… Clutch performer… Smart kid who plays very hard… ",": Not a true point guard … Had to be ball-dominant at Hofstra and ball-dominant scoring role-players are a dime a dozen in the NBA … Exposed when isolated defensively … Is prone to getting beat off the dribble … Average athleticism hurts his defensive potential at the next level … It’s hard to see his physical/bullying style being nearly as effective in the NBA … Redshirted his true freshman year, so he’s a year older than the rest of his class … Played in the Colonial Athletic Association (mid-major) for four years, so he hasn’t had many opportunities to prove himself against great competition … 2/3rd of his games came against teams outside the RPI top 100, so it’s difficult to get too excited about his numbers considering his teammates deferred to him and he was the primary option at all times offensively. How he would fit into a better team and in a team concept is debatable … Had a standing reach of just 8’0.5 which is the same as Jimmer Fredette who measaured just over 6′ feet barefoot …  ",6-3,216,PG/SG,Hofstra,Sr.,2011
Andrew Goudelock,": Quick combo-guard with a deadly shooting stroke … One of the best scorers in the nation (23.7 PPG) … Very energetic offensively … Hard to defend … Doesn’t waste any time holding the ball, as soon as he receives a pass he looks to make a move … Good in isolation situations … Employs an excellent pull-up jump shot with a quick and efficient release … Is very active without the ball … Knows how to find openings on the perimeter and set himself up for a catch-and-shoot opportunity … Prolific three-point shooter … Makes over 3.5 triples every game at a 40.7% clip … Has legitimate NBA range and then some … Nearly automatic when left open … Solid defender that moves his feet well and stays in front of his man … ",": Undersized for a shooting guard at the next level … Not very skilled in the paint, due to his below average athleticism and size … Most of his offense comes from the perimeter … A solid passer but certainly not a true point guard … Turnover prone (3.2 turnovers per game) … Would be best suited playing off the ball … Played in the Southern Conference and hasn’t had many opportunities to test himself against great competition … ",6-2,198,PG/SG,Charleston,Sr.,2011
Keith Benson,": Benson is a late blooming prospect who developed into one of the more productive big men in the college game in his last 3 years…Has good height at 6’11 for a PF/C, and a frame that is capable of adding as much as 15-20 lbs without the loss of mobility…Huge 7’4 wingspan…Runs the floor well and shows good reactive leaping skills that help him some on the glass and blocking shots…Displays a developing post game that is pretty solid right now…Has a very soft touch and is still adding moves to his repertoire…Has a right-handed jump hook that is very effective, and with his length looks to translate seamlessly…Never seems to rush into his moves…Has potential as a pick-and-pop threat with his developing touch…Is a pretty good shot-blocker with his length and quick leaping skills, who averaged more than 3 a contest at Oakland U…Not a bad rebounder…Willing to work on his game ",": Even though he has the frame to add weight and strength, Benson is pretty thin right now … Can be pushed out of the post by more physical bigs, and sometimes struggles to establish position consistently against strength …Will need to get much stronger in his lower body … Doesn’t play very tough, physical … His motor is also very improvable…Playing in the Summit League makes his competition highly questionable… Struggled to produce big games against the top competition he faced…Doesn’t play very well against guys with similar size to him…Although his face-up game is promising, he didn’t utilize it much at all in college, so repetition is key…Will take his time too much when getting into his moves at times and becomes easier to defend, particularly for similarly size bigs ",6-11,217,C,Oakland,Sr.,2011
Greg Smith,": Greg Smith is one of the more physically gifted big man prospects in the 2011 draft class…Definitely looks the part of an NBA frontcourt guy, at 6’10 250 and a 7’3 wingspan….Pretty good athleticism on top of his size, and is pretty agile and mobile … His hands are VERY big and soft, and in combination with his girth and length, it allows Smith to have a wide radius on post entry passes … Has soft touch around the rim and a developing post game…Shows excellent fluidity with his back to the basket, and is generally decisive in and out of his moves…Effective jump hook and spin move down low…Capable of finishing through contact…Not a bad rebounder…Sets solid screens in the pick and roll game and a will finish around the rim with a head start…Pretty charismatic personality, and appears to be likeable and coachable… ",": Although he’s got talent down low, he lacks polish right now…Has obvious raw tools, but he’s a bit unpolished all-around as a player…Intensity and motor wavers a bet on both ends, and leads to him not always being as productive as he should be…Sometimes struggles more than a guy his size should finishing through contact…Not the most devoted defensive player, and he allows too many easy shots and deep position to inferior talents and physical presences…There are concerns about his lackluster production playing on a bad team in a weak conference…Fresno State lost a lottery pick and another key contributor, and instead of increasing in production and role, Smith largely regressed or didn’t improve production at all…Prone to disappearing from games…For a team with Fresno State’s lack of talent, 11 ppg from Smith is a huge disappointment…Doesn’t play very tough at times…Could be categorized as the type that “looks like Tarzan and plays like Jane” at times…Struggles from the free throw line, which is never a good thing for a back to basket player like him…Ironically, struggles making mid-range jump shots and isn’t a pick-and-pop threat…Isn’t great running the floor, being pigeon-toed and knock-kneed… ",6-9,253,PF/C,Fresno St.,So.,2011
Bojan Bogdanovic,"Analysis   NBA Comparison: N/A Strenghts: Bojan Bogdanovic is a versatile player who can score in lots of different ways. He has a good combination of height and body frame that should allow him to compete with NBA small forwards physically … He can attack the rim effectively with his quick first step, which allows him to beat his immediate defender quite easily … His mid-range game is a continuous threat because he has a good pull up jumper with confidence … He has NBA range on his 3-point shot, and is becoming more adept at putting the ball on the floor and getting to the basket … ",": He’s an average athlete by NBA standards and he lacks lateral quickness … For these reasons he could struggle against NBA SG and SF on the defensive side … Even if he has a complete offensive game he doesn’t excel in any specific area, limiting his effectiveness for the NBA … Furthermore he is 22, so his upside is limited compared to other players … ",6-7,195,SG/SF,Croatia,Intl.,2011
Matthew Bryan-Am...,": Bryan-Amaning has increased his production with each year at Washington, finishing his senior season averaging 15 points and 8 rebounds on 54% shooting … From a physical standpoint, the 6’10 (in shoes) Amaning possesses NBA tools consisting of a 232 pound frame and a massive wingspan just over 7’3 … Uses his momentum to effectively explode up at the rim … Explosiveness and impressive hops allow him to finish emphatically when slipping to the rim off pick and rolls and in transition opportunities … High activity level in the paint … Excellent feel for the rim around the basket, finding ways to score regardless of his positioning… Length, athleticism and energy contribute to weak side rejections and offensive rebounds … Laterally quick enough to defend elusive face-up power forwards at the high post…  ",": Lacks consistency and fluidity on his jumper, which will limit his services as an NBA player … Needs to establish a face-up game with some type of jab step to setup a mid-range jumper, as he relies on shooting on the move to create separation on his shot … Not an adept ball-handler … Too heavily dependent on his quickness, length and touch in the post- lacks a refined back to the basket game … Struggles to get easy baskets and clean looks on his own… Shot 61% on 4.8 free throw attempts per game … Defensively, he’s a better off-ball defender than on-ball… Too often he allows his man to get where and what he wants … ",6-10,232,PF,Washington,Sr.,2011
Malcolm Thomas,": Long and athletic forward that has a lot of defensive potential … Possesses a good physical profile … Runs the floor well … Has the lateral quickness to stay in front of ball-handlers … Doesn’t get beat off the dribble easily … Excellent leaping ability … Explosive player that gets off the ground very quickly … Has great body control and finishing ability at the rim … An easy target for lob passes and ally-oops … Shows a good understanding of cutting to the rim without the ball and making himself available for the pass … Hits the glass hard … Averaged 8.1 rebounds per game in 2010-2011 … Uses his long 7’0.5"" wingspan and explosiveness to block a lot of shots (2.0) and disrupt the defense … Always active on both ends of the court … Unselfish player that knows his role … ",: A tweener … Doesn’t have the skills to play on the perimeter or the size to play in the post … Needs to add strength … Struggles when guarding bigger players in post-up situations … Not a good shooter … Easy player to defend due to his offensive limitations … Limited range … Only made four three-pointers in his entire college career … Not much of a ball-handler … Needs others to create for him … ,6-9,223,PF,San Diego St.,Sr.,2011
Xavi Rabaseda,": A player who has shown very good progression in the past year … He is just the last of the Spanish phenomenons; his talent, even clear from the beginning, finally began to emerge within the last season with Fuenlabrada … He played in U16, U18 and U20 national team, but only this year he was he able to show his value in ACB, the top European League … Xavi is a shooting guard with an ideal body for the NBA: he is 6-6 and his athleticism make him an interesting prospect for the draft … With his size and his “air skills”, he can attack the rim effectively, but he can also shoot from the three point line … Moreover he is smart, good decision maker. He can dribble and pass the ball very well: within the rotation, he can even handle the point guard some … Working hard on his skills … ",": Lacks a fiery personality. At times appears too comfortable with just being a team guy instead of demanding the ball and showing the desire to stand out … Did not impress at tthe 2010 Treviso Eurocamp, although the talent was apparent. And did not participate in 2011 … He lacks of a mid-range game, and he must improve his shot, both from free throws line (69% in last season) and long distance (32%) … Right now he is too light to play in the NBA, and he needs another year in Europe to increase his experience at high level … Still very much a project for the NBA …   ",6-7,190,SG,Spain,Intl.,2011
E'twaun Moore,": A winner who leaves Purdue tied for the most wins (107) in program history in his 4 years …  Productive and efficient player who put up good scoring totals … Has a nice jumper, and it is definitely the pillar of his offensive game … Can make shots spotting up, coming off screens, in isolation, and in the pick and roll … A quick, easy release and supreme confidence in his shot…Solid ability to make shots with a hand in his face …Very crafty and instinctive about how he creates his offense … Rarely seems rushed on the floor … Takes care of the ball…Possesses strong basic passing skills … Developed his ball-handling steadily over his career … Effective pick and roll player…Steady on-ball defender who plays with toughness and good fundamentals … Possesses a 6’9 wingspan that will help him on the defensive end, despite his mediocre athletic and physical tools ",": Moore isn’t very athletic … Not very explosive or quick … Will struggle to drive the lane in the NBA, and will find it even harder to finish at the rim … 1st step is below average and ball-handling is mediocre at best … Struggled to get separation on his drives in college … Not going to break down anyone off the dribble…Has a hard time creating good shots when defended by more athletic defenders who can crowd him … Often will shoot highly contested pull-up jump shots when he can’t get to the rim … Mediocre to below average size for a SG … Some teams may want him to be a combo guard, but he’s definitely not a PG … Won’t handle the ball as much as he did at Purdue … Can be inconsistent from game-to-game as a shooter … Can be beaten off the dribble by quick guards and savvy ball-handlers … Needs to get stronger and bigger to deal with the SG’s he’ll face in the pros ",6-4,191,PG/SG,Purdue,Sr.,2011
Rick Jackson,": Rick Jackson began his senior year close to 30 pounds lighter, which has paid off so far over two months into the season … Jackson rarely operates outside of the paint, scoring most of his points when he’s established deep position under the hoop or on second chance opportunities … He has a good feel for the basket up to ten feet or so, using his length and new found mobility to grab rebounds and finish in traffic … In the post, he uses his strength to back down his defender and finish over him … Shows high awareness as to what’s around him in the post, knowing when to head fake, use a power dribble or go straight up … Shows above average passing skills out of the post, averaging almost 3 assists per game… Defensively he blocks shots at a high rate, using his surprisingly quick feet and long arms … Has become a dominant rebounder (11.7 rpg, good for first in the Big East and fourth in the nation) at the college level and it’s his best attribute for the NBA game … ",": Jackson lacks advanced post moves, and isn’t necessarily a threat one on one … He hasn’t shown he’s capable of knocking down shots from the outside, and possesses little to no face-up game or any real ability to beat his defender off the dribble … Post skills are unrefined … Very poor free throw shooter … Defensively, he rarely defends the post in man to man situations, which he’ll need to be able to do at the next level … Has a lot to prove in the post season as he really struggled during last year’s NCAA tournament …  ",6-9,242,PF,Syracuse,Sr.,2011
David Lighty,": At 6’6 216, Lighty Jr. has adequate size for a swingman … One of the most experienced players in this year’s draft class, and has been exposed to winning … Plays very smart and mistake-free basketball … Highly unselfish … Doesn’t need the ball to be effective … Shows decent athleticism, and certainly has good enough footwork to compete athletically on an NBA floor … Has regained most of his explosiveness that his foot and ACL injuries zapped from him in years past … Plays great defense. Very physical and fundamental, and moves his feet very well … Preparation is good. Did a great job of knowing his matchups tendencies, always being prepared … Very good at knowing when to take risks for the sake of his team on defense … Has the strength, savvy and adequate size to defend SG’s and SF’s effectively … Uses his strong footwork to deny penetration … Played extended time as a PF in his career, and it shows in his toughness and physicality on the floor … Displays good versatility as a player and did everything he could to help the team win … Effective straight-line slasher … Keeps his body low, and has the strength to take contact and finish … Played everything from PG to PF at Ohio State … Makes limited mistakes passing the ball … Progressively got better as a shooter in college … A threat to make shots spotting up from 3-point range … Won’t shoot tightly contested jumpers … Good at using as many as 2 dribbles to set up for his pull-up jump shots … Competes on the glass more than most perimeter players … High character guy. Consummate team player. Quality teammate and leader … ",": Functional athlete, but certainly not anything special for NBA standards … He doesn’t make mistakes, but he’s also not going to be a risk taker … Won’t be asked to create offense in the NBA, and he only possesses an average handle and 1st step … Struggles to finish over taller, athletic frontcourt players … Not a particularly talented offensive player, and will ideally never be more than a 4th or 5th option when he’s on the floor … Much more effective spot-up shooter than he is on the move … Not going to be nearly the transition threat he was in college … Not going to create many turnovers on D … Past injuries ACL and foot injuries make his durability a minor concern going forward ",6-6,216,SG,Ohio St.,Sr.,2011
Willie Reed,": Extremely athletic and long power forward … He has a very lanky and wiry frame … His springy legs allow him to get off the ground very quickly and without needing to gather himself before exploding … He has a live body with good reflexes and shows the ability to catch tough passes in traffic and while on the move … He runs the floor well, showing a very impressive motor for a young big … Finishes strong at and above the rim … Has a soft touch around the basket, and shows a nice right mini hook as well as a turnaround jumper to his left shoulder … Even though he lacks any sort of consistency or confidence in his jumpshot, his form is good and he has a smooth stroke (although he tends to shoot offbalance) … He has extremely quick feet and is very agile for a player his size, he uses this to his advantage as he outquicks defenders in the post on a regular basis … While attacking the basket he shows good body control and he uses his length to finish around and over defenders … He works hard to establish post position, moving well and holding his ground in order to receive the ball in good scoring spots … Defensively he shows great anticipation, combining that with his physical and athletic gifts, he is a game changer on the defensive end … He has the ability to block and alter many shots on the ball as well as from the weak side … He also gets his hands on many balls in traffic, for steals or deflections … As a rebounder, he likes to attack the glass and can uses his leaping ability to grab balls that are well out of his area … ",": Needs to continue to work on his body, adding weight and muscle (although his frame shows good potential for growth and development) … Still somewhat of a project because his fundamentals are ways away from his athletic package … Will need to add moves to his low post repertoire, at this point he relies on his athleticism and it works against inferior defenders, but against next level competition he will need to become more comfortable using counter moves … He becomes predictable with his back to the basket because he does not like to turn to his right should or use his left hand to finish … Even when he does turn to his right shoulder, he will still use his right hand, which exposes the ball back to the defender and leads to an awkward shot attempt … Needs to work on his faceup game, he has the quickness to beat people off the dribble, but at this point he has very little success putting the ball on the deck … His jumper shows a lot of promise, but he has to gain more consistency letting it fly from outside of 10 feet … His shooting inconsistency also follows him to the foul line, where he has lingered around the 55% mark … Borko Popic – 1/19/2010 Borko Popic is a lead scout/contributor to NBADraft.net. Please check out his premium website / scouting service hooprospects.com, an essential tool for college coaches, and European and NBA scouts.     ",6-9,220,PF,St. Louis,Jr.,2011
Cam Long,": Shooting guard with a mature, composed, smooth all around game … Highly versatile with some ability to play either guard position … Makes excellent decisions, focused, always thinking, never in a rush … Stronger in the half court than full court due to his discipline and decision making … Solid vision … Very unselfish. Team player who could probably score a lot more if he was in another system or worried more about personal accolades than wins … Has one of the prettiest shooting strokes on the college level: Squares to the basket, gets a wide base, good elevation, shoots with a high release point, gets the ball off quickly and with excellent follow through … (44% from 3) Has a smooth pull up jumper off the dribble … Shoots well in catch and shoot … Will make you pay if he’s left open … Likes to take big shots … Handles like a point guard and is equally adept using either hand, in fact appears better with his left … His ball handling, vision and experience playing the point could allow him to play the position within the rotation at the next level … Comfortable bringing the ball up and handling the ball against speedy guards … Can take the ball coast to coast … Good one on one skills, has a crossover, uses hesitation moves, ball fakes and shiftiness and shows an excellent ability to create shots for himself … Finishes well with either hand … Able to utilize a floater in the lane over bigger defenders … Works hard to free himself for shots off the ball … Will surprise with his athleticism and go up and flush one if he gets a lane to the basket … Solid rebounder despite not being an explosive standstill leaper … Good at tipping the ball … Plays the passing lanes well. Solid ball hawk …  ",": His versatility is great but… Not a pure point guard and he’s undersized for the SG position … Lack of quickness could create problems for him getting free for shots at the next level … Quickness is solid, but doesn’t have an elite level first step. Will not be able to blow by elite, longer athletes … A below average athlete when you take his size into consideration. Has more athleticism than he plays with at all times … A good passer but just average by point guard standards … Lacks visibility playing in the Colonial Athletic Association … Short stride limits his speed in open floor … Runs into trouble sometimes when he overpenetrates as he isn’t explosive enough to finish in traffic … 75% from the FT line doesn’t do his shooting ability justice … Shooting numbers were surprisingly low as a junior …  ",6-4,192,SG,George Mason,Sr.,2011
Julyan Stone,": Extremely versatile guard … Blessed with the natural ability to play PG and size to play three different positions … Strong athleticism with very good leaping ability and explosiveness … Smooth, quick first step … Good penetrator that spends a lot of time in the paint … Has become very efficient over his four years at UTEP, finishing his last season at 53% … Tall for a point guard with very long arms … Excellent court vision … Sees over the defense and doesn’t miss open teammates … Gets them the ball in a position where they can score easily … Knows how to feed post players  … Makes good decisions with the ball in transition … Trusts his teammates and has their trust as well … Doesn’t turn the ball over often … Plays hard and hustles everywhere on the floor … Averaged 7.5 rebounds in his senior season despite playing the point guard position … Has the toughness, lateral quickness and long arms to be a blanket on defense … Has the potential to defend 1s, 2s and 3s at the next level … ",": Non-existent scoring ability … Despite playing 36.5 minutes per game in the fairly weak Conference USA, he only averaged 8.5 points per game … Very poor shooter … Lacks any range on his jump shot … Opponents will have no respect for his shooting ability and play off him, which will make him an easy player to defend, and inhibit his playmaking abilities … Solid finishing ability around the rim, but won’t get as many opportunities there at the next level … Poor free-throw shooter at 56% … Had four years to improve his shooting ability, yet never managed to do so … ",6-6,200,PG,UTEP,Sr.,2011
DeAndre Liggins,": Versatile, long and lean, can guard all three positions on the perimeter… NBA size and athleticism at 6-6, 210 pounds … 6’11 wingspan combined with solid lateral quickness makes him a potential lockdown perimeter defender on the next level … Takes noticeable pride in shutting down his matchup … A tough player, always seems to find himself coming up with loose balls… A good anticipator, gets into passing lanes for steals… Has a knack for being in the right place at the right time on defense … An improving three-point shooter, shot 39% from downtown this year… Originally recruited as a point guard, Liggins is a capable and comfortable ball handler … Versatile player who can play either the shooting guard or small forward at the next level … Doesn’t have a quick first step but can turn the corner and get into the paint off the dribble … Can cover a lot of ground quickly due to his long stride … Understands his role and doesn’t force his offense …  ",": Unclear whether he’ll be able to contribute offensively on an NBA roster … Good, but not great athlete … Poor free throw shooter …Career high in points over his three year career at Kentucky is only 19 points… Jump shot is funky looking and inconsistent… A decent shooter when his feet are set, Liggins really struggles to make shots after he puts the ball on the floor… Though he cut down considerably on his turnovers this year, is still a shaky decision maker … Never averaged more than 8.6 points per game in college … Lacks consistency … At 23 years-old, very old for a junior … Does not move well on offense, can get caught standing around watching …Will have to develop more offensive moves and a midrange game … Struggles to finish around the rim in traffic … Emotional player who can sometimes let emotions get the better of him … Spent his entire college career as a role player and reserve ",6-6,202,SG,Kentucky,Jr.,2011
